premises_name, wine_region, website, premises_address, premises_suburb, premises_state&postcode, phone, fax, opening_hours, winemaker, established, dozen, yineyards
Mollydooker Wines,South Australia,www.mollydookerwines.com.au,PO Box 2086, McLaren Vale, SA 5171                        South Australia            SA,(08) 8179 6500,(08) 8179 6555,By appt,Sarah Marquis, Sparky Marquis,2005,60 000,151 hectares,
Montalto,Mornington Peninsula,www.montalto.com.au,33 Shoreham Road, Red Hill South, Vic 3937                        Mornington Peninsula            VIC,(03) 5989 8412,(03) 5989 8417,7 days 11-5,Simon Black,1998,10 000,46.9 hectares,
Monichino Wines,Goulburn Valley,www.monichino.com.au,70 Berrys Road, Katunga, Vic 3640                        Goulburn Valley            VIC,(03) 5864 6452,(03) 5864 6538,Mon?Sat 9?5, Sun 10?5,Carlo Monichino, Terry Monichino,1962,15 000,25 hectares,
Mongrel Creek Vineyard,Margaret River,www.mongrelcreek.com.au,109 Hayes Road, Yallingup Siding, WA 6281                        Margaret River            WA,0417 991 065,(08) 9755 5708,W'ends   public hols 10-5,Tony Davis, Genevieve Stols,1996,1400,2.8 hectares,
Mongrel Vineyard,Mudgee,www.mongrelwine.com.au,571 Spring Flat Road, Mudgee, NSW 2850                        Mudgee,(02) 6372 2681,Not Available,W'ends and public hols 10-5,Michael Slater, Jacob Stein, David Lowe,1998,700,1 hectares,
MorganField Vineyard,Macedon Ranges,www.morganfield.com.au,104 Ashworths Road, Lancefield, Vic 3435                        Macedon Ranges            VIC,(03) 5429 1157,Not Available,By appt,John Ellis, David Cowburn (Contract),2003,800,4 hectares,
Lawson Hill Estate,Mudgee,,Henry Lawson Drive, Eurunderee, Mudgee, NSW 2850                        Mudgee            NSW,(02) 6373 3953,(02) 6373 3948,Sat 10-5, Sun 10-1, public hols 10-3, or by appt,Meerea Park,1985,NA,Not Available,
Latitude 35? South Wines,Great Southern,www.latitude35south.com.au,PO Box 812, Denmark, WA 6333                        Great Southern            WA,(08) 9848 2081,(08) 9848 2081,Not,Harewood Estate (James Kellie),1998,1350,Not Available,
Latara,Hunter Valley,,Cnr McDonalds Road/Deaseys Road, Pokolbin, NSW 2320                        Hunter Valley            NSW,(02) 4998 7320,Not Available,Sat 9??5, Sun 9??4,Brokenwood,1979,250,Not Available,
Lake Cooper Estate,Heathcote,www.lakecooper.com.au,1608 Midland Highway, Corop, Vic 3559                        Heathcote            VIC,(03) 9387 7657,(03) 9397 8502,W'ends and public hols 11-5,Donald Risstrom, Sam Brewer,1998,7800,29.8 hectares,
Laurel Bank,Southern Tasmania,www.laurelbankwines.com.au,130 Black Snake Lane, Granton, Tas 7030                        Southern Tasmania            TAS,(03) 6263 5977,(03) 6263 3117,By appt,Greer Carland,1987,1500,3.5 hectares,
Last Word Wines,Clare Valley,www.lastwordwines.com,12 Main North Road, Clare, SA 5453                        Clare Valley            SA,0458 434 000,(08) 8842 2695,7 days 9-8,Donna Stephens (Contract),2009,7000,110 hectares,
Lake George Winery,Canberra District,www.lakegeorgewinery.com.au,Old Federal Highway, Lake George, NSW 2581                        Canberra District            NSW            2581,(02) 9948 4676,(02) 9949 2873,Wed-Sun 10-4.30,Nick O'Leary,1971,3000,20 hectares,
Laughing Jack,Barossa Valley,www.laughingjackwines.com.au,194 Stonewell Road, Marananga, SA 5355            MARANANGA            Barossa Valley            SA            5355,(08) 8562 3878,(08) 8562 3878,By appt,Shawn Kalleske,1999,3000,38.88 hectares,
Laurance of Margaret River,Margaret River,www.laurancewines.com,3518 Caves Road, Wilyabrup, WA 6280                        Margaret River            WA            6280,(08) 9755 6199,(08) 9755 6188,7 days 11-5,Naturaliste Vintners (Bruce Dukes),2001,8000,23 hectares,
Lake Charlotte Wines,Perth Hills,,4750 Ballup Road, Wooroloo, WA 6558                        Perth Hills            WA,(08) 9573 1219,(08) 9573 1616,W'ends and public hols 10-5,Jim Elson (Contract),2001,NA,Not Available,
Lakeview Estate,Canberra District,,585 Goodhope Road, Yass, NSW 2582                        Canberra District            ACT,(02) 6227 1253,(02) 6227 1253,By appt,Capital Wines (Andrew McEwin),1996,200,2.5 hectares,
Lake's Folly,Hunter Valley,www.lakesfolly.wine,2416 Broke Road, Pokolbin, NSW 2320            POKOLBIN NSW 2320            Hunter Valley            NSW            2320,(02) 4998 7507,(02) 4998 7322,7 days 10-4 while wine available,Rodney Kempe,1963,4000,12.2 hectares,
Landaire,Padthaway,www.landaire.com.au,PO Box 14, Padthaway, SA 5271                        Padthaway,0417 408 147,Not Available,Not,Pete Bissell,2012,2000,200 hectares,
Lake Moodemere Estate,Rutherglen,www.moodemerewines.com.au,12 Moodemere Road, Rutherglen, Vic 3685                        Rutherglen            VIC,(02) 6032 9449,(02) 6032 7002,7 days 10-5,Michael Chambers,1995,2200,13 hectares,
LanzThomson Vineyard,Barossa Valley,www.lanzthomson.com,Lot 1 Rosedale Scenic Road, Lyndoch, SA 5351                        Barossa Valley            SA,(08) 8524 9227,(08) 8524 9269,By appt,Jamieson's Wine Consulting (Mark Jamieson),1998,1300,Not Available,
Latta,Macedon Ranges,www.lattavino.com.au,67 Pickfords Road, Coghills Creek, Vic 3364                        Macedon Ranges,0408 594 454,Not Available,By appt,Owen Latta,2012,1500,Not Available,
La Bise,Various,www.labisewines.com.au,PO Box 918, Williamstown, SA 5351                        Various,0439 823 251,Not Available,Not,Natasha Mooney,2006,1500,Not Available,
Lana,King Valley,www.lanawines.com.au,2 King Valley Road, Whitfield, Vic 3678                        King Valley,(03) 5729 9278,Not Available,7 days 11-5,Joel Pizzini,2011,2000,Not Available,
Olivers Taranga Vineyards,McLaren Vale,www.oliverstaranga.com,246 Seaview Road, McLaren Vale, SA 5171                        McLaren Vale            SA            5171,(08) 8323 8498,(08) 8323 7498,7 days 10-4,Corrina Wright,1841,8000,85.42 hectares,
Old Caves Winery,Granite Belt,www.oldcaveswinery.com.au,New England Highway, Stanthorpe, Qld 4380                        Granite Belt            QLD,(07) 4681 1494,(07) 4681 2722,Mon-Sat 9-5, Sun 10-4,David Zanatta, Tony Zanatta,1980,2000,Not Available,
Olsen Wines Victoria,Various,www.vin888.com.au,21 Carinish Road, Oakleigh South, Vic 3167                        Various            VIC,(03) 9544 4033,(03) 9563 5038,Mon-Fri 9.30-5,Glenn Olsen,1991,65 000,Not Available,
Old Kent River Wines,Frankland River,www.oldkentriverwines.com.au,1114 Turpin Road, Rocky Gully, WA 6397                        Frankland River            WA,(08) 9855 1589,(08) 9855 1660,Wed-Sun 11-4,Rockcliffe (Coby Ladwig),1985,800,17 hectares,
Old Loddon Wines,Bendigo,,5 Serpentine Road, Bridgewater, Vic 3516                        Bendigo            VIC,(03) 5437 3197,(03) 5438 3502,W'ends 12-5, Mon-Fri by appt,Passing Clouds,1995,5000,Not Available,
Old Mill Estate Wines,Langhorne Creek,www.oldmillestatewines.com.au,Lot 102 Saltmarsh Road, Langhorne Creek, SA 5255 (postal)                        Langhorne Creek            SA,(08) 8537 3006,(08) 8537 3006,Not,John Glaetzer (Consultant),2003,2500,18.22 hectares,
Old Plains,Adelaide Plains,www.oldplains.com,71 High Street, Grange, SA 5023 (postal)                        Adelaide Plains            SA,0407 605 601,(08) 8355 3603,Not,Domenic Torzi, Tim Freeland,2003,4000,14 hectares,
Old Oval Estate,McLaren Vale,www.oldovalestate.com.au,18 Sand Road, McLaren Vale, SA 5171                        McLaren Vale,(08) 8323 9100,Not Available,Fri-Sun 11-5,Phil Christiansen, Matt Wenk,1998,1000,6 hectares,
Outram Estate,Hunter Valley,www.outramestate.com,39  Coora Road, Westleigh, NSW 2120                        Hunter Valley            NSW,0439 909 818,(02) 9481 7879,By appt,Peter Howland, Scott Stephens (Contract),1995,1000,Not Available,
Outlook Hill Vineyard,Yarra Valley,www.outlookhill.com.au,97 School Lane, Tarrawarra, Vic 3777                        Yarra Valley            VIC,(03) 5962 2890,(03) 5962 2890,By appt,Peter Snow, Al Fencaros,2000,500,5.4 hectares,
Landsborough Valley Estate,Pyrenees,,PO Box 479W, Ballarat West, Vic 3350                        Pyrenees            VIC,(03) 5337 6510,Not Available,Not,Wal Henning,1996,6000,20 hectares,
Laanecoorie,Bendigo,www.laanecoorievineyard.com,4834 Bendigo/Maryborough Road, Betley, Vic 3472                        Bendigo            VIC,(03) 5468 7260,(03) 5468 7388,W'ends   public hols 11-5,Graeme Jukes,1982,1000,Not Available,
Lake Barrington Vineyard,Northern Tasmania,www.lbv.com.au,1133-1136 West Kentish Road, West Kentish, Tas 7306                        Northern Tasmania            TAS,(03) 6491 1249,(03) 9662 9553,Wed-Sun 11-4 (Jan-Feb), w'ends 11-4 (Nov-Mar),Frogmore Creek (Alain Rousseau), White Rock, Julian Alcorso,1986,450,1 hectares,
La Violetta Wines,Great Southern,www.lavioletta.com.au,PO Box 798, Denmark, WA 6333                        Great Southern            WA,0402 373 723,(08) 9848 3842,Not,Andrew Hoadley,2008,600,Not Available,
Lady Bay Vineyard,Southern Fleurieu,www.ladybay.com.au,Cnr Vine   Willis Drive, Lady Bay, SA 5204                        Southern Fleurieu            SA,0413 185 771,(08) 8445 1561,Not,Mike Brown,1996,1000,8.64 hectares,
Langmeil Winery,Barossa Valley,www.langmeilwinery.com.au,Cnr Para Road/Langmeil Road, Tanunda, SA 5352            Tanunda            Barossa Valley            SA            5352,(08) 8563 2595,(08) 8563 3622,7 days 10.30?4.30,Paul Lindner, Tyson Bitter,1996,35 000,31.4 hectares,
Lake Breeze Wines,Langhorne Creek,www.lakebreeze.com.au,Step Road, Langhorne Creek, SA 5255                        Langhorne Creek            SA            5255,(08) 8537 3017,(08) 8537 3267,7 days 10-5,Greg Follett,1987,20 000,90 hectares,
La Curio,McLaren Vale,www.lacuriowines.com,Cnr Foggo Road/Kangarilla Road, McLaren Vale, SA 5171                        McLaren Vale            SA,1300 356 252,(08) 8327 1442,By appt,Adam Hooper,2003,1500,Not Available,
La Colline Wines,Orange,,42 Lake Canoboloas Road, Orange, NSW 2800                        Orange            NSW,(02) 6365 3289,(02) 6365 3289,Wed-Sun 10-5,Madrez Wine Services,1999,1500,14.5 hectares,
Larry Cherubino Wines,Western Australia,www.larrycherubino.com,15 York Street, Subiaco, WA 6008            Subiaco            Western Australia            WA            6008,(08) 9382 2379,(08) 9382 2397,Not,Larry Cherubino, Andrew Siddell, Matt Bucham,2005,8000,120 hectares,
La Pleiade,Heathcote,www.jasperhill.com.au,c/- Jasper Hill, Drummonds Lane, Heathcote, Vic 3523                        Heathcote            VIC,(03) 5433 2528,(03) 5433 3143,By appt,Ron Laughton, Michel Chapoutier,1998,1000,9 hectares,
La Cantina King Valley,King Valley,www.lacantinakingvalley.com.au,54 Honey's Lane, King Valley, Vic 3678                        King Valley            VIC,(03) 5729 3615,(03) 5729 3613,7 days 10-5 (10-6 during daylight savings),Gino and Peter Corsini,1996,4000,22 hectares,
La Linea,Adelaide Hills,www.lalinea.com.au,36 Shipsters Road, Kensington Park, SA 5068 (postal)                        Adelaide Hills            SA,(08) 8431 3556,Not Available,Not,Peter Leske,2007,3500,9.5 hectares,
La Fontaine,Gippsland,,295 Manks Road, Fiveways, Vic 3977                        Gippsland            VIC,(03) 5998 1133,(03) 5998 1144,By appt,Wild Dog (Mal Stewart ),2004,800,Not Available,
Lake Cairn Curran Vineyard,Bendigo,www.lakecairncurranvineyard.com.au,'Park Hill', Leathbridge Road, Welshman's Reef, Vic 3462                        Bendigo            VIC,0419 339 097,(03) 5476 2523,By appt,Sarah Ferguson, Moorooduc Estate (Richard McIntyre),1987,800,5.4 hectares,
Lange's Frankland Wines,Frankland River,www.langesfranklandwines.com.au,633 Frankland-Cranbrook Road, Frankland River, WA 6396                        Frankland River,0438 511 828,Not Available,Not,James Kellie,1997,200,13.5 hectares,
Lambert Vineyards,Canberra District,www.lambertvineyards.com.au,810 Norton Road, Wamboin, NSW 2620                        Canberra District            ACT,(02) 6238 3866,(02) 6238 3855,By appt,Steve and Ruth Lambert,1998,2200,10 hectares,
This page is corked...,Canberra District,www.lambertvineyards.com.au,810 Norton Road, Wamboin, NSW 2620                        Canberra District            ACT,(02) 6238 3866,(02) 6238 3855,By appt,Steve and Ruth Lambert,1998,2200,10 hectares,
KJB Wine Group,McLaren Vale,www.oenotria.com.au,2 Acri Street, Prestons, NSW (postal)                        McLaren Vale            VIC,0409 570 694,(07) 3266 8552,Not,Kurt Brill,2008,550,Not Available,
Ottelia,Coonawarra,www.ottelia.com.au,2280 VandA Lane, Coonawarra, SA 5263                        Coonawarra            SA            5263,0409 836 298,Not Available,Thurs-Mon 10-4,John Innes,2001,5000,9 hectares,
Otway Estate,Geelong,www.otwayestate.com.au,10-30 Hoveys Road, Barongarook, Vic 3249                        Geelong            VIC,(03) 5233 8400,(03) 5233 8343,Mon-Thurs 12-5, Fri-Sun 10-5,Ian Deacon,1983,1800,6.4 hectares,
Over the Edge Wines Tasmania,Southern Tasmania,,100-104 Mornington Road, Mornington, Tas 7018                        Southern Tasmania,0457 587 713,Not Available,Not,Nick Johnston, Matthieu Bancal,2013,300,Not Available,
Oxford Landing Estates,Riverland,www.oxfordlanding.com.au,Pipeline Road, Nuriootpa, SA 5355                        Riverland            SA,(08) 8561 3200,(08) 8561 3393,By appt,Andrew La Nauze,1958,NFP,250 hectares,
Oparina Wines,Padthaway,www.oparinawines.com.au,126 Cameron Road, Padthaway, SA 5271                        Padthaway,0448 966 553,Not Available,Not,Phil Brown, Sue Bell,1997,500,32 hectares,
Optimiste,Mudgee,www.optimiste.com.au,Cnr Castlereagh Highway/Horseflat Lane, Mudgee, NSW 2850                        Mudgee            NSW,(02) 9967 3294,(02) 9967 3295,Fri-Sun 10-4,Jacob Stein,1998,3000,11 hectares,
Oakway Estate,Geographe,www.oakwayestate.com.au,575 Farley Road, Donnybrook, WA 6239                        Geographe            WA,(08) 9731 7141,(08) 9731 7190,W'ends and public hols 11-5,Tony Davis,1998,1500,2 hectares,
Observatory Hill Vineyard,Southern Tasmania,www.observatoryhill.com.au,107 Centauri Drive, Mt Rumney, Tas 7170                        Southern Tasmania            TAS,(03) 6248 5380,Not Available,W'ends 10-5,Frogmore Creek (Alain Rousseau),1991,1200,3.1 hectares,
Oatley Estate,Hunter Valley,,9A Kitchener Street, Oatley, NSW 2223 (postal)                        Hunter Valley            NSW,0419 402 989,(02) 9580 7002,Not,Contract,1989,5000,Not Available,
Oak Valley Estate,Murray Darling,www.oakvalleyestate.com.au,3055 Deakin Avenue, Sturt Highway, Mildura South, Vic 3502                        Murray Darling            VIC,(03) 5021 2379,(03) 5022 7283,7 days 10-5,Ferdinando DeBlasio,2000,1000,10 hectares,
Oak Dale Wines,Swan Hill,,40 Titford Road, Tresco, Vic 3583                        Swan Hill            VIC,(03) 5037 2911,(03) 5037 2911,By appt,Robert Zagar (Contract),2000,NA,Not Available,
Oakover Wines,Swan Valley,www.oakoverwines.com.au,14 Yukich Close, Middle Swan, WA 6056                        Swan Valley            WA            6056,(08) 9374 8000,(08) 9250 7544,7 days 11-4,Ragan Wood,1990,50 000,100 hectares,
Oakridge Wines,Yarra Valley,www.oakridgewines.com.au,864 Maroondah Highway, Coldstream, Vic 3770            Coldstream            Yarra Valley            VIC            3770,(03) 9738 9900,(03) 9739 1923,7 days 10?5,David Bicknell,1978,35 000,22 hectares,
Oak Works Wines,Riverland,,PO Box 1661, Renmark, SA 5341                        Riverland,0420 975 692,Not Available,Not,Peter Rogers,2001,100,Not Available,
Oakvale,Hunter Valley,www.oakvalewines.com.au,1596 Broke Road, Pokolbin, NSW 2320                        Hunter Valley            NSW            2320,(02) 4998 7088,(02) 4998 7077,7 days 10-5,James Becker,1893,5000,29.4 hectares,
Oakdene,Geelong,www.oakdene.com.au,255 Grubb Road, Wallington, Vic 3221                        Geelong            VIC            3222,(03) 5256 3886,(03) 5256 3881,7 days 10-4,Robin Brockett, Marcus Holt,2001,7500,12 hectares,
Nyora Vineyard & Winery,Gippsland,,Cnr Peacock Road/Williams Road, The Gurdies, Vic 3984                        Gippsland            VIC,(03) 5997 6205,Not Available,Wed-Mon 10-6,Klaus Griese, Denise Griese,1995,600,Not Available,
Ngeringa,Adelaide Hills,www.ngeringa.com,119 Williams Road, Mount Barker, SA 5251                        Adelaide Hills            SA,(08) 8398 2867,(08) 8398 2867,Last Sun month 11-5 or by appt,Erinn Klein,2001,2000,5 hectares,
Johnston Oakbank,Adelaide Hills,www.johnston-oakbank.com.au,18 Oakwood Road, Oakbank, SA 5243                        Adelaide Hills            SA,(08) 8388 4263,(08) 8388 4278,Mon-Fri 10.30-4.30, w'ends 11-5,David O'Leary (Contract), Geoff Johnston,2002,5000,49 hectares,
Jones Road,Mornington Peninsula,www.jonesroad.com.au,2 Godings Road, Moorooduc, Vic 3933                        Mornington Peninsula            VIC,(03) 5978 8080,(03) 5978 8081,W'ends 11-5,Travis Bush,1998,7500,26.5 hectares,
Journeys End Vineyards,South Eastern Australia,www.journeysendvineyards.com.au,Level 7, 420 King William Street, Adelaide, SA 5000                        South Eastern Australia            ACT,0431 709 305,Not Available,Not,Ben Riggs (Contract),2001,10 000,Not Available,
